Dispositivo;Latitud;Longitud;Fecha;Bateria
GPS_6;36.8901100000;-5.0213000000;02-08-2022 03:40:28;LOW;
GPS_6;36.8900100000;-5.0213900000;02-08-2022 04:10:27;LOW;
GPS_6;36.8900000000;-5.0213600000;02-08-2022 04:20:22;LOW;
GPS_6;36.8891200000;-5.0214500000;02-08-2022 05:48:43;LOW;
GPS_6;36.8889800000;-5.0215800000;02-08-2022 05:58:19;LOW;
GPS_6;36.8899300000;-5.0214000000;02-08-2022 05:38:19;LOW;
GPS_6;36.8889400000;-5.0215800000;02-08-2022 06:08:18;LOW;
GPS_6;36.8889500000;-5.0213000000;02-08-2022 06:18:15;LOW;
GPS_6;36.8890500000;-5.0212700000;02-08-2022 06:28:12;LOW;
GPS_6;36.8895600000;-5.0229500000;02-08-2022 06:48:56;LOW;
GPS_6;36.8894700000;-5.0215800000;02-08-2022 06:38:56;LOW;
GPS_6;36.8893100000;-5.0231900000;02-08-2022 07:08:06;LOW;
GPS_6;36.8895100000;-5.0230100000;02-08-2022 07:28:04;LOW;
GPS_6;36.8893400000;-5.0231800000;02-08-2022 07:18:04;LOW;
GPS_6;36.8896400000;-5.0227700000;02-08-2022 07:38:12;LOW;
GPS_6;36.8900100000;-5.0223700000;02-08-2022 07:58:14;LOW;
GPS_6;36.8898800000;-5.0223700000;02-08-2022 07:48:14;LOW;
GPS_6;36.8917500000;-5.0213300000;02-08-2022 08:28:19;LOW;
GPS_6;36.8906800000;-5.0214200000;02-08-2022 08:18:19;LOW;
GPS_6;36.8905500000;-5.0221100000;02-08-2022 08:08:19;LOW;
GPS_6;36.8920200000;-5.0214200000;02-08-2022 08:38:30;LOW;
GPS_6;36.8922500000;-5.0214200000;02-08-2022 08:58:29;LOW;
GPS_6;36.8924200000;-5.0212500000;02-08-2022 08:48:29;LOW;
GPS_6;36.8923600000;-5.0214200000;02-08-2022 10:57:59;LOW;
GPS_6;36.8923600000;-5.0214200000;02-08-2022 10:47:59;LOW;
GPS_6;36.8923900000;-5.0213000000;02-08-2022 11:08:11;LOW;
GPS_6;36.8923000000;-5.0215100000;02-08-2022 11:28:03;LOW;
