codigo_gps,lat,lng,time_stamp,id_ganadero,animal,type
AV597,37.154651,-3.087496,2022-01-27T07:09:14Z,SNE-1,oveja,medición continua
AV597,37.154579,-3.08747,2022-01-27T07:14:26Z,SNE-1,oveja,medición continua
AV597,37.154682,-3.087474,2022-01-27T07:19:41Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087506,2022-01-27T07:24:57Z,SNE-1,oveja,medición continua
AV597,37.154582,-3.087477,2022-01-27T07:30:11Z,SNE-1,oveja,medición continua
AV597,37.154636000000004,-3.087521,2022-01-27T07:35:24Z,SNE-1,oveja,medición continua
AV597,37.154624,-3.08757,2022-01-27T07:40:39Z,SNE-1,oveja,medición continua
AV597,37.154521,-3.087449,2022-01-27T07:45:59Z,SNE-1,oveja,medición continua
AV597,37.154502,-3.087572,2022-01-27T07:51:15Z,SNE-1,oveja,medición continua
AV597,37.154613,-3.087556,2022-01-27T07:56:35Z,SNE-1,oveja,medición continua
AV597,37.154598,-3.087536,2022-01-27T08:02:01Z,SNE-1,oveja,medición continua
AV597,37.154529,-3.087611,2022-01-27T08:07:21Z,SNE-1,oveja,medición continua
AV597,37.154617,-3.087592,2022-01-27T08:12:33Z,SNE-1,oveja,medición continua
AV597,37.154537,-3.087488,2022-01-27T08:17:48Z,SNE-1,oveja,medición continua
AV597,37.154495,-3.087478,2022-01-27T08:23:01Z,SNE-1,oveja,medición continua
AV597,37.154464,-3.087375,2022-01-27T08:28:22Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087497,2022-01-27T08:33:36Z,SNE-1,oveja,medición continua
AV597,37.15446,-3.087494,2022-01-27T08:38:54Z,SNE-1,oveja,medición continua
AV597,37.15456,-3.087463,2022-01-27T08:44:30Z,SNE-1,oveja,medición continua
AV597,37.154407,-3.087563,2022-01-27T08:49:53Z,SNE-1,oveja,medición continua
AV597,37.154396,-3.087516,2022-01-27T08:55:20Z,SNE-1,oveja,medición continua
AV597,37.154457,-3.087594,2022-01-27T09:00:37Z,SNE-1,oveja,medición continua
AV597,37.154464,-3.087611,2022-01-27T09:06:03Z,SNE-1,oveja,medición continua
AV597,37.154499,-3.087482,2022-01-27T09:11:17Z,SNE-1,oveja,medición continua
AV597,37.154418,-3.08762,2022-01-27T09:16:51Z,SNE-1,oveja,medición continua
AV597,37.154594,-3.087375,2022-01-27T09:22:13Z,SNE-1,oveja,medición continua
AV597,37.154651,-3.087525,2022-01-27T09:27:33Z,SNE-1,oveja,medición continua
AV597,37.154499,-3.08742,2022-01-27T09:32:54Z,SNE-1,oveja,medición continua
AV597,37.154323,-3.08731,2022-01-27T09:39:04Z,SNE-1,oveja,medición continua
AV597,37.154586,-3.087125,2022-01-27T09:45:20Z,SNE-1,oveja,medición continua
AV597,37.154499,-3.087451,2022-01-27T09:51:30Z,SNE-1,oveja,medición continua
AV597,37.15446,-3.087345,2022-01-27T09:57:40Z,SNE-1,oveja,medición continua
AV597,37.154399,-3.087375,2022-01-27T10:03:06Z,SNE-1,oveja,medición continua
AV597,37.154384,-3.087338,2022-01-27T10:08:26Z,SNE-1,oveja,medición continua
AV597,37.154235,-3.087279,2022-01-27T10:13:47Z,SNE-1,oveja,medición continua
AV597,37.15435,-3.087266,2022-01-27T10:19:07Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087394,2022-01-27T10:24:28Z,SNE-1,oveja,medición continua
AV597,37.154415,-3.08731,2022-01-27T10:29:49Z,SNE-1,oveja,medición continua
